;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;Land;Zusammen;;;;
;;;Anzahl;Flaeche (ha);;;
;;Baden-Wuerttemberg;57;11,6;;;
;;Bayern;59;75,8;;;
;;Berlin;15;2,5;;;
;;Brandenburg;223;53,3;;;
;;Bremen;0;0,0;;;
;;Hamburg;0;0,0;;;
;;Hessen;84;16,2;;;
;;Mecklenburg-Vorpommern;20;5,2;;;
;;Niedersachsen;44;7,7;;;
;;Nordrhein-Westfalen;12;3,1;;;
;;Rheinland-Pfalz;34;9,7;;;
;;Saarland;4;0,8;;;
;;Sachsen;137;27,8;;;
;;Sachsen-Anhalt;71;34,6;;;
;;Schleswig-Holstein;0;0,0;;;
;;Thueringen;19;7,5;;;
;;BESONDERHEITEN;;;;;
