Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,3,"0,01",7,"3,55",2,"0,30",1,"0,25",4,"1,00",17,"5,11"
Bayern,12,"4,60",5,"0,77",16,"29,30",0,"0,00",11,"7,87",44,"42,54"
Berlin,0,"0,00",1,"0,40",0,"0,00",0,"0,00",0,"0,00",1,"0,40"
Brandenburg,49,"20,21",29,"4,85",4,"1,19",11,"1,14",48,"258,01",141,"285,40"
Bremen,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
Hamburg,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
Hessen,21,"1,66",7,"2,01",0,"0,00",0,"0,00",30,"2,41",58,"6,08"
Mecklenburg-Vorpommern,1,"0,00",1,"0,04",0,"0,00",1,"0,00",1,"0,02",4,"0,06"
Niedersachsen,3,"2,50",1,"1,30",3,"4,70",0,"0,00",5,"0,70",12,"9,20"
Nordrhein-Westfalen,8,"0,11",14,"2,80",1,"1,20",0,"0,00",15,"20,78",38,"24,89"
Rheinland-Pfalz,6,"0,04",8,"2,72",0,"0,00",0,"0,00",9,"6,06",23,"8,82"
Saarland,1,"0,05",3,"1,03",0,"0,00",0,"0,00",0,"0,00",4,"1,08"
Sachsen,16,"1,30",13,"0,45",1,"1,00",3,"0,09",9,"2,07",42,"4,91"
Sachsen-Anhalt,7,"0,35",2,"0,03",0,"0,00",2,"0,06",12,"4,68",23,"5,12"
Schleswig-Holstein,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
Thüringen,2,"0,02",2,"0,01",2,"0,20",2,"0,33",9,"0,61",17,"1,17"
Früheres Bundesgebiet,54,"8,97",46,"14,58",22,"35,50",1,"0,25",74,"38,82",197,"98,12"
Neue Länder,75,"21,88",47,"5,38",7,"2,39",19,"1,62",79,"265,39",227,"296,66"
Deutschland,129,"30,85",93,"19,96",29,"37,89",20,"1,87",153,"304,21",424,"394,78"
